Country,Quality Score,SDGi,Life Exectancy,HDI,Per Capita GDP,Region,Income Group,Population (millions),footprint_production,footprint_consumption,Total biocapacity ,Ecological (Deficit) or Reserve,num_earths,Number of Countries required,official_overshoot_day,overshoot_day_consumption,difference
Ireland,2A,80.7,82,0.95,"$106,717",EU-27,HI,5,4.263362933,4.505430071,3.109222875,-1.4,3.0,1.4,2024-05-02,2024-05-01,-1.0
Israel,3A,73.5,83,0.92,"$43,000",Middle East/Central Asia,HI,8.9,2.405764689,4.160883266,0.242110623,-3.9,2.8,17.2,2024-05-12,2024-05-11,-1.0
Italy,3A,78.3,83,0.9,"$43,010",EU-27,HI,60.3,2.456944614,3.951195867,0.971138877,-3.0,2.6,4.1,2024-05-19,2024-05-18,-1.0
Jamaica,3A,69,71,0.71,"$10,109",Central America/Caribbean,UM,3,1.187749486,1.740340457,0.554318453,-1.2,1.2,3.1,2024-11-12,2024-11-12,0.0
Japan,3A,79.6,84,0.93,"$41,809",Asia-Pacific,HI,125.6,3.299068757,4.044275528,0.630109766,-3.4,2.7,6.4,2024-05-16,2024-05-15,-1.0
Jordan,2A,69.4,74,0.72,"$10,159",Middle East/Central Asia,UM,10.3,0.825251419,1.303853168,0.214335249,-1.1,0.9,6.1,,2025-02-26,
Kazakhstan,2A,71.1,70,0.81,"$26,125",Middle East/Central Asia,UM,19.2,5.932593199,4.294192618,3.82386996,-0.5,2.8,1.1,2024-05-08,2024-05-07,-1.0
Kenya,3A,61,61,0.58,"$5,192",Africa,LI,56.2,0.757845173,0.881302467,0.462795906,-0.4,0.6,1.9,,2025-09-18,
"Korea, Democratic People's Republic of",3A,,73,,,Asia-Pacific,LI,26,1.157012334,1.198197816,0.533428165,-0.7,0.8,2.2,,2025-04-05,
"Korea, Republic of",3A,77.9,84,0.93,"$45,438",Asia-Pacific,HI,51.3,4.608280957,5.821429703,0.64688681,-5.2,3.9,9.0,2024-04-04,2024-04-03,-1.0
Kuwait,3A,64.5,79,0.83,"$43,613",Middle East/Central Asia,HI,4.4,8.737082189,8.551154826,0.807349671,-7.7,5.7,10.6,2024-03-05,2024-03-04,-1.0
Kyrgyzstan,2A,73.7,72,0.69,"$4,764",Middle East/Central Asia,LI,6.7,1.32445216,1.510363941,1.25343204,-0.3,1.0,1.2,2024-12-30,2024-12-30,0.0
Lao People's Democratic Republic,3A,63.4,68,0.61,"$7,866",Asia-Pacific,LM,7.5,2.382306963,1.859643637,1.641909183,-0.2,1.2,1.1,2024-10-23,2024-10-23,0.0
Latvia,3A,80.3,73,0.86,"$31,973",EU-27,HI,1.8,9.81412837,7.72457986,9.930483467,2.2,5.1,0.8,2024-03-12,2024-03-11,-1.0
Lebanon,3A,66.3,75,0.71,,Middle East/Central Asia,UM,6.7,1.935937149,3.145596118,0.318992262,-2.8,2.1,9.9,2024-06-24,2024-06-23,-1.0
Lesotho,2B,55.1,53,0.51,"$2,599",Africa,LM,2.2,1.255344298,1.151055555,0.723708258,-0.4,0.8,1.6,,2025-04-24,
Liberia,2A,49.9,61,0.48,"$1,524",Africa,LI,5.3,1.113670097,1.242561554,2.731745972,1.5,0.8,0.5,,2025-03-19,
Lithuania,3A,75.4,74,0.88,"$39,810",EU-27,UM,2.7,6.377624058,6.428250738,5.967089276,-0.5,4.3,1.1,2024-03-26,2024-03-25,-1.0
Luxembourg,3A,75.7,83,0.93,"$120,505",EU-27,HI,0.6,5.220189053,10.95940773,1.228958605,-9.7,7.3,8.9,2024-02-20,2024-02-19,-1.0
Madagascar,3A,50.1,64,0.5,"$1,523",Africa,LI,29.2,0.743492694,0.794028543,1.978753711,1.2,0.5,0.4,,2025-11-26,
Malawi,3A,53.3,63,0.51,"$1,373",Africa,LI,20.2,0.715373229,0.724281863,0.576487738,-0.1,0.5,1.3,,2026-02-01,
Malaysia,3A,70.4,75,0.8,"$28,180",Asia-Pacific,UM,33.2,4.116891195,4.242378924,2.062303764,-2.2,2.8,2.1,2024-05-09,2024-05-09,0.0
Mali,3A,54.1,59,0.43,"$2,206",Africa,LI,21.5,1.072262004,1.000773926,1.368689788,0.4,0.7,0.7,,2025-07-05,
Malta,2B,76.8,83,0.92,"$46,806",EU-27,HI,0.4,1.204711984,3.721980114,0.467363732,-3.3,2.5,8.0,2024-05-28,2024-05-27,-1.0
Martinique,2B,,,,,Central America/Caribbean,,0.4,2.296445737,3.502802609,0.510104348,-3.0,2.3,6.9,2024-06-06,2024-06-05,-1.0
Mauritania,2A,55.8,64,0.56,"$5,927",Africa,LM,4.9,2.222727182,2.256407504,3.653577326,1.4,1.5,0.6,2024-09-01,2024-08-31,-1.0
Mauritius,2B,68.4,74,0.8,"$21,450",Africa,UM,1.3,1.527660305,2.603587166,0.675477406,-1.9,1.7,3.9,2024-07-30,2024-07-30,0.0
